:ID;pageCount:string;title:string;volumeNo:int;publishedYear:int
0;607-619;Parallel Integer Sorting and Simulation Amongst CRCW Models.;33;1996
1;227-248;Pattern Matching in Trees and Nets.;20;1983
2;171-178;NP-complete Problems Simplified on Tree Schemas.;20;1983
3;425-433;On the Power of Chain Rules in Context Free Grammars.;17;1982
4;395-398;Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.;7;1977
5;19-24;A characterization of rational D0L power series.;48;2011
6;595-632;The Derivation of Systolic Implementations of Programs.;24;1987
7;15-36;Fifo Nets Without Order Deadlock.;25;1988
8;297-305;On the Complementation Rule for Multivalued Dependencies in Database Relations.;10;1978
9;29-52;Equational weighted tree transformations.;49;2012
10;307-330;Merged processes: a new condensed representation of Petri net behaviour.;43;2006
11;199-228;Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.;50;2013
12;197-206;A Three-Stage Construction for Multiconnection Networks.;20;1983
13;447-452;The Expressive Power of Delay Operators in SCCS.;28;1991
14;707-737;Calculi for Interaction.;33;1996
15;1-30;A Synthesis of Several Sorting Algorithms.;11;1978
16;255-266;A Workload Model Representative of Static and Dynamic Characteristics.;23;1986
17;793-811;Gray visiting Motzkins.;38;2002
18;499-552;Trace- and failure-based semantics for responsiveness.;51;2014
19;277-298;Branching Processes in the Analysis of the Heights of Trees.;24;1987
20;307-310;Least Upper Bound on the Cost of Optimum Binary Search Trees.;1;1972
21;187-209;The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.;6;1976
22;299-312;Invariants, Composition, and Substitution.;32;1995
23;545-565;Maximum Entropy and the ;23;1986
24;761-803;Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.;36;2000
25;87-137;A theory of structural stationarity in the ;46;2009
26;167-191;Hex ist PSPACE-vollständig.;15;1981
27;913-926;Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.;36;2000
28;379-398;Disjunctivity and other properties of sets of pseudo-bordered words.;54;2017
29;279-320;Relational structures model of concurrency.;45;2008
30;113-123;On an Equivalence between Continuation and Stack Semantics.;8;1977
31;265-283;Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.;3;1974
32;295-298;A Note on the Density of Inherently Ambiguous Context-free Languages.;14;1980
33;643-655;Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.;26;1989
34;559-576;Computational Algorithms for Networks of Queues with Rejection Blocking.;26;1989
35;415-458;Compositional Refinements in Multiple Blackboard Systems.;32;1995
36;3-4;Special issue on Combining Compositionality and Concurrency: part 1. ;52;2015
37;531-564;Automatic verification of concurrent systems using a formula-based compositional approach.;38;2002
38;229-243;On Removing the Machine from the Language.;10;1978
39;379-395;Complete Problems for Space Bounded Subclasses of NP.;22;1985
40;165-192;Efficient controller synthesis for a fragment of MTL;51;2014
41;31-45;Two Notions of Correctness and Their Relation to Testing.;18;1982
42;363-370;Best Huffman Trees.;16;1981
43;45-56;Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.;16;1981
44;1-20;The Parsing Problem for Affix Grammars.;8;1977
45;203-213;On Efficient Entreeings.;30;1993
