:ID;authorName:string
6753652;Sanjeev Saxena
6753653;Hans Ulrich Simon
6753654;Nathan Goodman
6753655;Oded Shmueli
6753656;Norbert Blum
6753657;Arnold Schönhage
6753658;Juha Honkala
6753659;Chua-Huang Huang
6753660;Christian Lengauer
6753661;Alain Finkel
6753662;Annie Choquet
6753663;Joachim Biskup
6753664;Symeon Bozapalidis
6753665;Zoltán Fülöp 0001
6753666;George Rahonis
6753667;Victor Khomenko
6753668;Alex Kondratyev
6753669;Maciej Koutny
6753670;Walter Vogler
6753671;Wim H. Hesselink
6753672;Christian Ronse
6753673;Carol Critchlow
6753674;Prakash Panangaden
6753675;Robin Milner
6753676;John Darlington
6753677;Maria Calzarossa
6753678;M. Italiani
6753679;Giuseppe Serazzi
6753680;Vincent Vajnovszki
6753681;Christian Stahl
6753682;Richard Müller 0001
6753683;Luc Devroye
6753684;T. C. Hu
6753685;K. C. Tan
6753686;William R. Franta
6753687;Ekkart Kindler
6753688;Demetres D. Kouvatsos
6753689;Sergei Gorlatch
6753690;Roland Meyer
6753691;Stefan Reisch
6753692;Erzsébet Csuhaj-Varjú
6753693;Victor Mitrana
6753694;Lila Kari
6753695;Manasi S. Kulkarni
6753696;Ryszard Janicki
6753697;Bruce Russell
6753698;Andrzej Ehrenfeucht
6753699;Grzegorz Rozenberg
6753700;Rainer Kemp
6753701;Yijie Han
6753702;Yoshihide Igarashi
6753703;Ian F. Akyildiz
6753704;Horst von Brand
6753705;X. J. Chen
6753706;Carlo Montangero
6753707;Rob J. van Glabbeek
6753708;Ursula Goltz
6753709;Ernst-Rüdiger Olderog
6753710;Antonella Santone
6753711;Eric C. R. Hehner
6753712;Moon-Jung Chung
6753713;Michael Evangelist
6753714;Ivan Hal Sudborough
6753715;Peter E. Bulychev
6753716;Alexandre David
6753717;Kim G. Larsen
6753718;Guangyuan Li
6753719;Timothy A. Budd
6753720;Dana Angluin
6753721;George Markowsky
6753722;Manfred P. Stadel
6753723;David A. Watt
6753724;Paul S. Amerins
6753725;Ricardo A. Baeza-Yates
6753726;Derick Wood
6753727;Ernst W. Mayr
6753728;Karel Culik II
6753729;Simant Dube
6753730;Armin B. Cremers
6753731;Thomas N. Hibbard
6753732;William P. R. Mitchell
6753733;Patrick Cousot
6753734;Radhia Cousot
6753735;Isi Mitrani
6753736;J. H. Hine
6753737;Joseph M. Morris
6753738;Malcolm Tyrrell
6753739;Jürgen Nehmer
6753740;Walter J. Savitch
6753741;Karl Meinke
6753742;Mohammad Mahdi Jaghoori
6753743;Frank S. de Boer
6753744;Delphine Longuet
6753745;Tom Chothia
6753746;Marjan Sirjani
6753747;Joost Engelfriet
6753748;Linda Heyker
6753749;George Leih
6753750;Shyamal K. Chowdhury
6753751;Pradip K. Srimani
6753752;Ugo Montanari
6753753;Francesca Rossi
6753754;Peter E. Lauer
6753755;Piero R. Torrigiani
6753756;M. W. Shields
6753757;Rudolf Berghammer
6753758;David Pager
6753759;Peter Lipps
6753760;Ulrich Möncke
6753761;Matthias Olk
6753762;Reinhard Wilhelm
6753763;Sanguthevar Rajasekaran
6753764;Sandeep Sen
6753765;Richard Hull 0001
6753766;Jianwen Su
6753767;John K. Lee
6753768;Alan Fekete
6753769;Teuvo Laurinolli
6753770;Gary T. Leavens
6753771;Don Pigozzi
6753772;Luke Hunsberger
6753773;Y. Daniel Liang
6753774;Maw-Shang Chang
6753775;Gilles Bernot
6753776;Michel Bidoit
6753777;Teodor Knapik
6753778;Jan A. Bergstra
6753779;C. A. Middelburg
6753780;Wlodzimierz Drabent
6753781;Mark Schäfer
6753782;Ralf Wollowski
6753783;Raphael A. Finkel
6753784;Jon Louis Bentley
6753785;Alfred Schmitt
6753786;Jacques Labetoulle
6753787;Guy Pujolle
6753788;Lijun Zhang 0001
6753789;Pengfei Yang
6753790;Lei Song 0001
6753791;Holger Hermanns
6753792;Christian Eisentraut
6753793;David N. Jansen
6753794;Jens Chr. Godskesen
6753795;Paul Pritchard
6753796;Robert T. Moenck
6753797;Philip Heidelberger
6753798;Yo-Sub Han
6753799;Sang-Ki Ko
6753800;Kai Salomaa
6753801;Siegfried Bublitz
6753802;Masoud Ebrahimi
6753803;Gholamreza Sotudeh
6753804;Ali Movaghar
6753805;Pierpaolo Degano
6753806;Gian Luigi Ferrari
6753807;Gianluca Mezzetti
6753808;Benedek Nagy
6753809;Friedrich Otto
6753810;Krishnendu Chatterjee
6753811;Rüdiger Ehlers
6753812;Gheorghe Paun
6753813;P. F. Schuler
6753814;George W. Ernst
6753815;Günther E. Pfaff
6753816;Heiko Vogler
6753817;Chen-Ming Fan
6753818;Cheng-Chih Huang
6753819;Huei-Jan Shyr
6753820;Kuo-Hsiang Chen
6753821;Linqiang Pan
6753822;Artiom Alhazov
6753823;Akhil Kumar 0001
6753824;Kavindra Malik
6753825;Serge Haddad
6753826;Denis Poitrenaud
6753827;Donald P. Gaver
6753828;George Humfeld
6753829;J.-P. Lévy
6753830;Stavros Konstantinidis
6753831;Nicolae Santean
6753832;Sheng Yu
6753833;Eike Best
6753834;Raymond R. Devillers
6753835;Astrid Kiehn
6753836;Lucia Pomello
6753837;Markus Büttner
6753838;Hendrik Jan Hoogeboom
6753839;Eric Lilin
6753840;Andreas Maletti
6753841;Andrzej Blikle
6753842;Fred Kröger
6753843;Zoltán Ésik
6753844;Michael Bertol
6753845;Rob van Stee
6753846;Johannes A. La Poutré
6753847;Carroll Morgan
6753848;Paul H. B. Gardiner
6753849;Ambuj K. Singh
6753850;Paul Caspi
6753851;Nicolas Halbwachs
6753852;Wojciech Fraczak
6753853;Richard P. Hopkins
6753854;Hanna Klaudel
6753855;Elisabeth Pelz
6753856;Wuu Yang
6753857;Susmit Jha
6753858;Sanjit A. Seshia
6753859;Kamilla Klonowska
6753860;Lars Lundberg
6753861;Håkan Lennerstad
6753862;Arnold L. Rosenberg
6753863;Zvi Galil
6753864;Volker Claus
6753865;Naoki Kobayashi 0001
6753866;Jean Berstel
6753867;B. Bartsch
6753868;Gunter Bolch
6753869;Jan Joris Vereijken
6753870;Teruo Hikita
6753871;Yuri Breitbart
6753872;Allen Reiter
6753873;Filippo Bonchi
6753874;Daniela Petrisan
6753875;Damien Pous
6753876;Jurriaan Rot
6753877;Per Brinch Hansen
6753878;Karsten Schmidt 0004
6753879;Mogens Nielsen
6753880;Arto Salomaa
6753881;Sven Skyum
6753882;Antonios Kalampakas
6753883;Jörg Desel
6753884;Wolfgang Reisig
6753885;Wolfgang Merzenich
