:END_ID;city:string;:START_ID;editionNo:int;year:int
1;Beejing;100000001;3;1983
2;Philadelphia;100000002;4;1983
4;Beejing;100000000;5;1977
5;Sau Paulo;100000004;2;2011
7;Stockholm;100000001;5;1988
9;Sau Paulo;100000005;4;2012
11;London;100000002;5;2013
15;Stockholm;100000003;1;1978
16;Sau Paulo;100000000;3;1986
18;Bagota;100000005;1;2014
20;New York;100000005;5;1972
22;Mumbai;100000006;1;1995
24;Philadelphia;100000000;2;2000
25;Sau Paulo;100000000;1;2009
26;Stockholm;100000006;1;1981
27;Mumbai;100000002;2;2000
29;London;100000000;5;2008
30;New York;100000000;2;1977
32;Mumbai;100000003;3;1980
33;Sau Paulo;100000005;1;1989
34;Sau Paulo;100000005;4;1989
35;Stockholm;100000000;2;1995
37;Bagota;100000002;1;2002
41;Sau Paulo;100000000;2;1982
42;London;100000001;4;1981
44;Stockholm;100000004;3;1977
46;New York;100000004;3;1981
47;Philadelphia;100000004;3;1997
48;Mumbai;100000000;4;1978
49;Sau Paulo;100000006;1;1988
50;Philadelphia;100000001;1;1987
51;Philadelphia;100000001;1;1977
53;Beejing;100000002;5;1975
54;Sau Paulo;100000005;5;1973
56;New York;100000001;4;2017
57;Stockholm;100000006;4;1994
58;Philadelphia;100000002;2;1987
61;Stockholm;100000000;4;2008
62;New York;100000003;4;1977
64;Mumbai;100000005;5;1992
67;Philadelphia;100000001;1;1978
68;New York;100000001;2;2000
71;Stockholm;100000003;2;1994
72;Philadelphia;100000005;2;2012
73;Stockholm;100000000;2;1995
74;Philadelphia;100000001;5;2009
75;Mumbai;100000006;1;1974
77;Stockholm;100000000;3;1976
78;Sau Paulo;100000000;2;2018
79;Stockholm;100000002;3;1982
82;Sau Paulo;100000000;4;2016
84;Philadelphia;100000002;1;2019
85;Stockholm;100000001;1;2017
86;New York;100000006;2;2013
90;Sau Paulo;100000000;3;1977
91;Sau Paulo;100000001;4;1983
92;Beejing;100000000;2;1988
93;Stockholm;100000005;5;1980
94;London;100000003;3;2010
95;New York;100000005;1;2006
96;Mumbai;100000003;2;1996
99;Sau Paulo;100000003;4;1974
101;London;100000001;3;1991
102;Beejing;100000002;1;2005
103;London;100000002;4;1988
104;Philadelphia;100000002;1;2015
107;Mumbai;100000002;1;1980
110;London;100000001;1;1990
111;Philadelphia;100000003;1;1993
114;Mumbai;100000006;1;1995
115;New York;100000003;1;2017
117;Philadelphia;100000001;4;1978
118;Sau Paulo;100000004;2;1976
119;Bagota;100000005;4;1971
120;Mumbai;100000004;5;2005
121;Philadelphia;100000006;3;1974
122;Beejing;100000000;5;1978
124;Mumbai;100000006;1;1997
125;Bagota;100000001;4;1979
126;Sau Paulo;100000003;1;1975
127;Mumbai;100000004;5;2017
129;Philadelphia;100000004;3;2000
131;London;100000000;4;2006
132;Beejing;100000001;3;1996
133;New York;100000005;4;1979
134;Sau Paulo;100000002;4;2014
136;Philadelphia;100000002;2;2001
138;Stockholm;100000000;2;2000
139;Beejing;100000002;4;1989
144;New York;100000004;4;1990
145;Stockholm;100000003;2;2012
146;Bagota;100000005;4;1999
147;Sau Paulo;100000006;2;1974
148;New York;100000002;3;1995
149;Philadelphia;100000006;4;2016
150;London;100000006;1;1974
151;Bagota;100000003;2;1984
153;Beejing;100000001;4;1987
157;New York;100000005;3;2014
158;Mumbai;100000004;1;1980
159;New York;100000003;2;2005
160;London;100000001;2;1987
161;Mumbai;100000004;5;1995
165;Beejing;100000001;5;1986
166;Bagota;100000006;5;2011
167;London;100000001;1;1998
169;London;100000004;5;1984
170;Bagota;100000001;2;1995
172;Philadelphia;100000005;3;1987
173;Beejing;100000001;2;2011
174;Bagota;100000004;4;1982
176;Philadelphia;100000005;3;1976
177;Mumbai;100000004;5;1992
179;Sau Paulo;100000006;2;1999
180;New York;100000004;5;1997
182;Sau Paulo;100000005;5;1989
183;London;100000000;3;2009
185;Beejing;100000005;3;1982
186;Bagota;100000004;4;1993
187;New York;100000005;5;1998
188;Philadelphia;100000006;5;1988
190;Stockholm;100000005;1;1981
192;Stockholm;100000001;2;2005
195;Bagota;100000005;2;1994
196;New York;100000006;4;1977
197;Sau Paulo;100000003;5;2018
198;Philadelphia;100000006;3;1980
199;Mumbai;100000000;3;1979
200;London;100000001;1;1980
204;Bagota;100000001;1;1984
207;Philadelphia;100000003;5;2005
208;Stockholm;100000002;1;1987
209;London;100000000;2;2006
210;Sau Paulo;100000005;2;2001
211;New York;100000001;4;1994
212;Sau Paulo;100000002;2;1990
213;Philadelphia;100000006;5;1973
216;Beejing;100000000;2;2013
219;Mumbai;100000001;2;1988
220;New York;100000002;5;1979
226;Stockholm;100000004;1;1991
227;Sau Paulo;100000005;3;2001
228;Stockholm;100000005;2;1981
229;Bagota;100000003;5;1978
231;Stockholm;100000000;3;1987
232;New York;100000001;3;1996
233;Bagota;100000005;3;2013
235;Bagota;100000001;3;1982
237;Bagota;100000004;1;1984
239;Philadelphia;100000000;1;2005
241;New York;100000000;1;2015
242;Mumbai;100000005;4;1997
243;Beejing;100000001;3;1978
244;Stockholm;100000004;1;2011
245;New York;100000001;1;1984
246;Beejing;100000003;5;1976
247;Stockholm;100000006;3;1998
248;London;100000003;1;2017
249;Stockholm;100000005;5;1993
250;Stockholm;100000000;2;1993
251;Mumbai;100000003;5;1974
252;Bagota;100000001;3;1983
253;London;100000006;3;1980
254;New York;100000001;2;2016
255;Bagota;100000006;2;1977
256;New York;100000005;4;1975
257;London;100000004;2;2016
261;Stockholm;100000002;3;1980
263;Beejing;100000001;2;2006
265;Beejing;100000006;2;1973
267;Bagota;100000004;3;1995
268;Philadelphia;100000001;5;2014
269;Bagota;100000006;5;2007
271;New York;100000005;4;1988
272;Stockholm;100000003;2;2004
273;London;100000005;4;1988
274;Beejing;100000004;4;2006
282;Sau Paulo;100000005;2;1978
283;Sau Paulo;100000002;2;2017
284;Philadelphia;100000004;3;2011
285;London;100000000;2;1976
286;Philadelphia;100000005;1;2016
287;Mumbai;100000006;5;2004
288;Bagota;100000005;4;2008
289;Bagota;100000001;3;2012
290;Beejing;100000006;4;2015
291;Sau Paulo;100000001;3;2018
293;Sau Paulo;100000002;5;1983
294;Beejing;100000005;1;1998
295;Philadelphia;100000001;4;1982
296;Sau Paulo;100000001;2;2011
297;Stockholm;100000002;2;1977
300;New York;100000003;3;1984
301;London;100000006;3;2018
302;Beejing;100000001;5;2000
303;Sau Paulo;100000000;1;1983
304;London;100000006;2;1994
305;Mumbai;100000003;1;1998
307;Sau Paulo;100000006;3;1982
308;Bagota;100000003;1;1985
309;Bagota;100000002;2;1988
310;Stockholm;100000003;2;1982
312;Bagota;100000001;1;1990
314;Stockholm;100000002;2;2001
315;Stockholm;100000000;3;1987
316;Sau Paulo;100000004;3;2001
317;Beejing;100000005;4;1989
318;Mumbai;100000000;2;2016
319;Mumbai;100000006;3;2005
322;Sau Paulo;100000005;4;2007
323;Sau Paulo;100000004;1;1992
324;London;100000006;4;2007
329;Stockholm;100000006;1;1980
330;Mumbai;100000005;2;2015
331;Bagota;100000003;4;2009
332;Bagota;100000005;5;1996
333;New York;100000002;2;2005
334;Beejing;100000000;3;2000
336;Philadelphia;100000000;4;2018
337;Beejing;100000004;4;2006
338;Sau Paulo;100000003;2;2001
341;Bagota;100000003;5;1978
342;Sau Paulo;100000003;2;2003
343;Philadelphia;100000004;1;1981
344;Sau Paulo;100000002;3;1996
345;Bagota;100000002;1;1982
346;Beejing;100000006;3;1990
347;New York;100000000;1;1996
349;Beejing;100000000;4;1984
351;Beejing;100000000;2;2007
353;London;100000003;3;2000
355;Beejing;100000000;3;1990
356;Stockholm;100000005;5;1979
357;Stockholm;100000004;4;1983
358;Stockholm;100000000;2;1981
