:END_ID;:START_ID;volumeNo:int;year:int
8748;9046536;1;2018
1648;9046532;2;2008
5660;9046534;5;2018
462;9046542;5;1973
11846;9046527;1;2012
14006;9046531;3;2006
6255;9046529;1;2017
9371;9046532;4;2016
17009;9046526;5;2016
5229;9046524;2;2014
15981;9046529;1;2015
12358;9046544;5;2017
9342;9046530;1;2009
3724;9046544;3;2009
10871;9046541;4;2000
2978;9046534;2;2008
9714;9046529;5;2009
10928;9046528;4;2013
2218;9046528;2;2012
6363;9046527;5;2013
17654;9046525;4;2014
6821;9046532;4;2012
13341;9046542;5;2012
14732;9046524;1;1992
18330;9046539;2;2015
15353;9046532;5;2012
16347;9046524;2;1988
3890;9046530;2;1998
15891;9046537;2;2013
10981;9046524;5;2003
2050;9046543;4;2009
11297;9046535;5;2003
8843;9046529;3;2011
1907;9046541;1;2011
18316;9046527;3;1990
13027;9046533;3;1991
4044;9046531;2;2011
14600;9046530;3;1997
455;9046531;1;1995
6702;9046534;2;2013
2404;9046529;1;2012
14694;9046529;5;1999
4502;9046538;3;2016
8960;9046543;5;1999
8867;9046526;3;2015
2995;9046539;4;2008
6155;9046532;3;2018
2060;9046531;1;2018
9142;9046530;2;2015
7880;9046537;2;2000
11110;9046534;5;1998
7945;9046532;4;2019
12349;9046540;1;2012
18466;9046533;1;1996
1022;9046526;4;1981
2810;9046538;3;2015
13499;9046533;4;2011
9178;9046528;3;2018
1610;9046527;1;2018
16212;9046528;3;2014
5319;9046525;3;2015
16245;9046527;4;2018
18944;9046538;2;2009
5058;9046538;1;2018
5611;9046531;1;2013
697;9046529;2;1989
14737;9046533;1;1989
6879;9046542;2;1998
16874;9046524;5;2017
8240;9046543;3;2007
11306;9046540;2;2014
3630;9046536;2;2018
3074;9046531;2;2013
15198;9046543;4;2019
19026;9046539;2;2005
11513;9046528;2;2014
5862;9046533;3;1994
9816;9046525;1;2002
5209;9046536;4;2019
17351;9046529;3;2007
8188;9046540;1;2019
19482;9046529;3;2014
10473;9046525;3;2016
3224;9046533;4;2003
1900;9046533;3;2012
9539;9046526;3;2005
11233;9046531;3;2007
12092;9046543;1;2014
12742;9046525;4;2008
19674;9046536;2;2014
5533;9046542;1;2008
3792;9046544;3;2013
14802;9046531;3;2006
6972;9046544;4;2009
2479;9046535;1;2003
5262;9046538;1;2016
12632;9046527;5;1998
12006;9046542;1;2013
7890;9046524;1;2019
8743;9046529;3;2014
7782;9046532;3;2005
5459;9046541;2;2018
17212;9046536;4;1998
17929;9046543;5;1993
1511;9046524;1;2016
4714;9046531;3;2016
3932;9046527;4;2014
13203;9046533;1;1996
418;9046540;5;1974
17432;9046524;2;2018
13337;9046526;4;2018
14926;9046534;4;2000
4342;9046540;5;1989
11785;9046542;4;1991
6886;9046535;5;2002
13635;9046541;3;1990
19724;9046533;5;2017
17486;9046538;1;2002
18162;9046537;5;2007
12842;9046525;1;2011
10006;9046542;1;2008
14412;9046536;1;2018
16469;9046526;4;1992
15602;9046533;5;2016
14829;9046530;5;2002
19445;9046540;4;2000
19141;9046533;4;2006
2188;9046530;5;2012
7713;9046526;5;2016
3090;9046532;4;2009
10634;9046535;3;2006
4443;9046536;1;2007
3501;9046534;1;2007
18716;9046527;4;1990
1277;9046535;1;1982
2336;9046542;1;2018
13023;9046544;3;2003
4719;9046525;2;2019
17342;9046534;2;2010
16052;9046526;5;2012
9952;9046541;1;2013
8595;9046532;2;2011
8725;9046540;2;2018
366;9046530;1;1985
12811;9046527;5;2017
8272;9046532;5;2018
5235;9046536;3;2007
2832;9046528;5;2014
2041;9046534;5;2012
8424;9046533;1;2013
9308;9046542;3;2012
